num_recreated_workers,episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,info/last_target_update_ts,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,counters/last_target_update_ts,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/default_policy/td_error,info/learner/default_policy/train,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/mean_td_error
0,nan,nan,nan,nan,0,0,0,1000,32,1000,32,1000,32,1000,32,1000,False,0,1,c746e_00006,2f12f76cffd44dbfbb71c90479997951,2022-10-12_02-03-10,1665532990,14.070524454116821,14.070524454116821,223051,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,14.070524454116821,0,1,11.967397928237915,1000,32,1000,32,0,nan,nan,nan,nan,0,0,[],[],139.965,45.87,697.626,1066.64,30.001,0.041,1000,32,1000,32,0,1.7849999999999997,4.790000000000001,[],[],"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.
 0. 1. 0. 0. 0. 0. 0. 0.]",,6.25000029685907e-05,0.0,0.0,0.0,0.0625
0,-20.0,-20.0,-20.0,3613.0,1,0,0,2000,8032,2000,8032,1000,8000,2000,8000,2000,False,1,2,c746e_00006,2f12f76cffd44dbfbb71c90479997951,2022-10-12_02-06-29,1665533189,130.29785132408142,144.36837577819824,223051,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,144.36837577819824,0,2,11.967397928237915,2000,8032,2000,8032,0,-20.0,-20.0,-20.0,3613.0,1,0,[-20.0],[3613],529.887,83.093,385.11,16.348,1957.383,0.032,2000,8032,2000,8032,0,1.7828571428571431,5.41857142857143,[-20.0],[3613],"[ 0.9906778  -0.00752786  0.99087524 -0.00752786 -0.00932223 -0.00932223
  0.98974234  0.98919606  0.9906778   0.9924722   0.9924722  -0.00752786
 -0.01080396  0.98919606 -0.01080396 -0.00752786  0.99087524  0.9906778
  0.9924722  -1.0044807  -0.00932223 -0.00932223 -0.01080396 -0.01025768
 -0.00752786  0.99087524  0.9906778   0.98919606 -0.00912478 -0.00752786
  0.9906778   0.98919606]",,6.25000029685907e-05,-0.009024179,-0.010803962,-0.0044807303,0.45972586
0,-20.0,-21.0,-20.5,3698.0,1,0,0,3000,16032,3000,16032,1000,8000,3000,8000,3000,False,2,3,c746e_00006,2f12f76cffd44dbfbb71c90479997951,2022-10-12_02-08-42,1665533322,132.51191115379333,276.8802869319916,223051,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,276.8802869319916,0,3,11.967397928237915,3000,16032,3000,16032,0,-20.0,-21.0,-20.5,3698.0,1,0,"[-20.0, -21.0]","[3613, 3783]",534.362,74.082,431.954,17.84,1793.758,0.032,3000,16032,3000,16032,0,1.7978260869565221,5.741847826086956,"[-20.0, -21.0]","[3613, 3783]","[ 0.9801898   0.9786101  -0.01923367 -0.01981021  0.9786101  -0.01981021
 -0.01747859  0.98560643 -0.01439359  0.9881089  -0.02138991 -0.01439359
 -0.01747859  0.98560643 -0.01981021 -0.01439359 -0.02138991 -0.01981021
  0.98560643 -0.02138991  0.9786101   0.98076636  0.9786101  -0.01439359
  0.9786101  -0.02138991 -0.01923367  0.9786101  -0.01981021  0.98076636
 -0.01923367 -0.02138991]",,6.25000029685907e-05,-0.018685065,-0.021389907,-0.011891106,0.38756496
0,-20.0,-21.0,-20.666666666666668,3509.3333333333335,1,0,0,4000,24032,4000,24032,1000,8000,4000,8000,4000,False,3,4,c746e_00006,2f12f76cffd44dbfbb71c90479997951,2022-10-12_02-11-01,1665533461,138.57588648796082,415.4561734199524,223051,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,415.4561734199524,0,4,11.967397928237915,4000,24032,4000,24032,0,-20.0,-21.0,-20.666666666666668,3509.3333333333335,1,0,"[-20.0, -21.0, -21.0]","[3613, 3783, 3132]",544.218,78.314,408.61,20.339,1573.362,0.034,4000,24032,4000,24032,0,1.7968085106382983,5.869680851063829,"[-20.0, -21.0, -21.0]","[3613, 3783, 3132]","[ 0.98012537 -0.0201966  -0.02373526 -0.02821171 -0.02690053  0.9798034
  0.9798034  -0.0201966   0.98012537  0.98012537 -0.02696642 -0.02821171
 -0.02821171  0.9762647   0.9798034  -0.02696642 -0.02690053 -0.02690053
  0.97309947 -0.02690053 -0.02373526 -0.02821171 -0.02690053 -0.01987462
 -0.02821171 -0.02690053  0.98012537 -0.02821171 -0.02821171 -0.0201966
 -0.02821171  0.9730336 ]",,6.25000029685907e-05,-0.024582969,-0.028211705,-0.01987462,0.28791702
0,-20.0,-21.0,-20.5,3587.25,1,0,0,5000,32032,5000,32032,1000,8000,5000,8000,5000,False,4,5,c746e_00006,2f12f76cffd44dbfbb71c90479997951,2022-10-12_02-13-15,1665533595,133.92072772979736,549.3769011497498,223051,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,549.3769011497498,0,5,11.967397928237915,5000,32032,5000,32032,0,-20.0,-21.0,-20.5,3587.25,1,0,"[-20.0, -21.0, -21.0, -20.0]","[3613, 3783, 3132, 3821]",529.811,64.421,496.735,20.041,1596.718,0.033,5000,32032,5000,32032,0,1.7978494623655918,6.025268817204301,"[-20.0, -21.0, -21.0, -20.0]","[3613, 3783, 3132, 3821]","[-0.03295872 -0.02914085 -0.0319897  -0.02687072 -0.02623024 -0.02623024
  0.97085917  0.9731293  -0.0319897  -0.03241859  0.9675814   0.9731293
 -0.02623024 -0.02914085 -0.02914085 -0.02687072 -0.02687072 -0.03295872
 -0.02914085 -0.03295872 -0.03295872 -1.0291408   0.9675814   0.9680103
 -0.02914085 -0.03241859 -0.02914085 -0.0319897   0.9680103   0.9731293
  0.9675814  -0.02687072]",,6.25000029685907e-05,-0.029805902,-0.032958724,-0.02623024,0.2201941
