num_recreated_workers,episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,info/last_target_update_ts,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,counters/last_target_update_ts,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/default_policy/td_error,info/learner/default_policy/train,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/mean_td_error
0,nan,nan,nan,nan,0,0,0,1000,32,1000,32,1000,32,1000,32,1000,False,0,1,c746e_00007,1a6d74e3aed94e68b0394d4f6f3e34b4,2022-10-12_02-03-37,1665533017,14.138845682144165,14.138845682144165,223170,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,14.138845682144165,0,1,12.054919242858887,1000,32,1000,32,0,nan,nan,nan,nan,0,0,[],[],135.342,65.947,485.236,882.513,36.26,0.042,1000,32,1000,32,0,1.795238095238095,5.057142857142856,[],[],"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]",,6.25000029685907e-05,0.0,0.0,0.0,0.0
0,500.0,500.0,500.0,5082.0,1,0,0,2000,8032,2000,8032,1000,8000,2000,8000,2000,False,1,2,c746e_00007,1a6d74e3aed94e68b0394d4f6f3e34b4,2022-10-12_02-06-29,1665533189,129.74326586723328,143.88211154937744,223170,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,143.88211154937744,0,2,12.054919242858887,2000,8032,2000,8032,0,500.0,500.0,500.0,5082.0,1,0,[500.0],[5082],534.617,69.118,462.978,20.305,1575.991,0.032,2000,8032,2000,8032,0,1.7836820083682017,5.489121338912134,[500.0],[5082],"[ 0.00801007 -0.98563635  0.00805878  0.00802103 -0.9887778   0.00794207
  0.00796957  0.01053452  0.01210119  0.01210119  0.01436363 -0.9908866
  0.00798811  0.01122216 -0.9878988   0.01210119  0.00805878  0.00794558
  0.00798811  0.0147255   0.00794558  0.00798157  0.00794207  0.0147255
  0.01436363  0.00801007  0.01210119  0.00798811  0.01436363 -0.9878988
  0.00911339  0.00805878]",,6.25000029685907e-05,0.010332078,0.0079420665,0.014725499,-0.14591792
0,700.0,500.0,600.0,5176.5,1,0,0,3000,16032,3000,16032,1000,8000,3000,8000,3000,False,2,3,c746e_00007,1a6d74e3aed94e68b0394d4f6f3e34b4,2022-10-12_02-08-41,1665533321,132.04863786697388,275.9307494163513,223170,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,275.9307494163513,0,3,12.054919242858887,3000,16032,3000,16032,0,700.0,500.0,600.0,5176.5,1,0,"[500.0, 700.0]","[5082, 5271]",526.614,62.021,515.954,17.597,1818.501,0.032,3000,16032,3000,16032,0,1.7983695652173919,5.740760869565219,"[500.0, 700.0]","[5082, 5271]","[ 0.02058743  0.0224272   0.01726684  0.01862602  0.01120001  0.01130718
  0.0224272   0.02058743  0.01316773  0.02044607  0.01120001  0.0159745
  0.01120001  0.01736632  0.01120001  0.01316773  0.02044607 -0.98263365
  0.0224272   0.01409532  0.02044607  0.01126314  0.01120001  0.0159745
  0.0224272   0.02058743  0.0159745   0.01736632  0.01109792  0.01126314
  0.01130167  0.01316773]",,6.25000029685907e-05,0.01607988,0.011097917,0.022427201,-0.015170117
0,700.0,300.0,500.0,4345.0,1,0,0,4000,24032,4000,24032,1000,8000,4000,8000,4000,False,3,4,c746e_00007,1a6d74e3aed94e68b0394d4f6f3e34b4,2022-10-12_02-10-58,1665533458,136.66922116279602,412.59997057914734,223170,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,412.59997057914734,0,4,12.054919242858887,4000,24032,4000,24032,0,700.0,300.0,500.0,4345.0,1,0,"[500.0, 700.0, 300.0]","[5082, 5271, 2682]",521.353,86.755,368.853,17.971,1780.688,0.034,4000,24032,4000,24032,0,1.795675675675676,5.868648648648648,"[500.0, 700.0, 300.0]","[5082, 5271, 2682]","[ 0.01366685  0.01240296  0.01366685 -0.98019004  0.01283853  0.01980995
  0.0121807   0.02508082  0.01246333 -0.97410756  0.02294396  0.0121807
  0.01366685  0.02198504  0.01227563  0.02198504  0.01246333  0.02198504
  0.01555735  0.02294396  0.01555735  0.01283853  0.02013441  0.01732878
  0.02294396  0.01643893  0.01283853  0.01555735  0.01216967  0.01366685
  0.02198504  0.01643893]",,6.25000029685907e-05,0.016990552,0.012169669,0.025892437,-0.04550945
0,700.0,300.0,500.0,4345.0,0,0,0,5000,32032,5000,32032,1000,8000,5000,8000,5000,False,3,5,c746e_00007,1a6d74e3aed94e68b0394d4f6f3e34b4,2022-10-12_02-13-09,1665533589,131.6051983833313,544.2051689624786,223170,dmi-cl-node027.dmi.p.unibas.ch,10.34.59.27,544.2051689624786,0,5,12.054919242858887,5000,32032,5000,32032,0,700.0,300.0,500.0,4345.0,0,0,"[500.0, 700.0, 300.0]","[5082, 5271, 2682]",525.903,87.381,366.214,22.962,1393.601,0.034,5000,32032,5000,32032,0,1.7983606557377056,6.019672131147543,"[500.0, 700.0, 300.0]","[5082, 5271, 2682]","[0.01908719 0.02423067 0.02033553 0.01246434 0.01224635 0.02423067
 0.01787749 0.02757538 0.02423067 0.01211935 0.02128144 0.0243514
 0.0243514  0.01921919 0.01234442 0.01908719 0.02423067 0.02423067
 0.01246434 0.01246434 0.01921919 0.01908719 0.01224635 0.01921919
 0.01787749 0.0243514  0.02128144 0.01908719 0.01246434 0.01211935
 0.01224635 0.01560602]",,6.25000029685907e-05,0.018538384,0.01211935,0.027575377,0.018538384
